Brand,Type,Model/Description,Volume,Dimensions,Price,Code
Gledhill,Unvented,Envirofoam Stainless Steel,162 L,1200h x 520dia,238.56,CCYL1089
Gledhill,Combination Copper,Combination,140 L,1075h x 520dia,380.68,CCYL1090
Gledhill,Combination Copper,Combination,162 L,1200h x 520dia,380.68,CCYL1091
Gledhill,Combination Copper,Combination,210 L,1850h x 520dia,578.04,CCYL1092
Gledhill,Unvented,StainlessLite Plus,180 L,1306h x 550dia,873.28,CCYL1093
Gledhill,Unvented,StainlessLite Plus,210 L,1494h x 550dia,859.21,CCYL1094
Gledhill,Unvented,StainlessLite Plus,250 L,1744h x 550dia,982.56,CCYL1095
Gledhill,Unvented,StainlessLite Plus,300 L,1990h x 550dia,982.56,CCYL1096
Gledhill,Unvented,StainlessLite Plus,90 L,764h x 550dia,763.79,CCYL1097
Gledhill,Unvented,StainlessLite Plus,120 L,931h x 550dia,763.79,CCYL1098
Gledhill,Unvented,StainlessLite Plus,150 L,1118h x 550dia,763.79,CCYL1099
Gledhill,Unvented Slimline,StainlessLite Plus Slimline,90 L,976h x 475dia,763.79,CCYL1108
Gledhill,Unvented Slimline,StainlessLite Plus Slimline,120 L,1284h x 475dia,763.79,CCYL1109
Gledhill,Unvented Slimline,StainlessLite Plus Slimline,150 L,1520h x 475dia,763.79,CCYL1110
Gledhill,Unvented Slimline,StainlessLite Plus Slimline,180 L,1790h x 475dia,873.28,CCYL1111
Gledhill,Unvented Slimline,StainlessLite Plus Slimline,210 L,1963h x 475dia,873.28,CCYL1112
Gledhill,Twin Coil Unvented,StainlessLite Plus Twin Coil,180 L,,873.28,CCYL1100
Gledhill,Twin Coil Unvented,StainlessLite Plus Twin Coil,210 L,,873.28,CCYL1101
Gledhill,Twin Coil Unvented,StainlessLite Plus Twin Coil,250 L,,982.56,CCYL1102
Gledhill,Twin Coil Unvented,StainlessLite Plus Twin Coil,300 L,,982.56,CCYL1103
Gledhill,Twin Coil Vented,StainlessLite Plus Twin Coil,180 L,,578.04,CCYL1104
Gledhill,Twin Coil Vented,StainlessLite Plus Twin Coil,210 L,,610.46,CCYL1105
Gledhill,Twin Coil Vented,StainlessLite Plus Twin Coil,250 L,,610.46,CCYL1106
Gledhill,Twin Coil Vented,StainlessLite Plus Twin Coil,300 L,,643.28,CCYL1107
Telford,Buffer,Stainless Buffer Store with Immersion Heater,50 L,,320.00,CCYL0001
Gledhill,Heat Pump,SL Plus Slim Heat Pump,180 L,,830.00,CCYL0002
Gledhill,Heat Pump,SL Plus Slim Heat Pump,210 L,,900.00,CCYL0003
Gledhill,Heat Pump,SL Plus Heat Pump,180 L,,780.00,CCYL0004
Gledhill,Heat Pump,SL Plus Heat Pump,210 L,,810.00,CCYL0005
Gledhill,Heat Pump,SL Plus Heat Pump,250 L,,850.00,CCYL0006
